customer_id,verified_review_count
12130838,1
12168461,1
12187741,1
12198248,1
12198896,1
12228637,1
12258884,1
12260490,1
12261097,1
12264910,1
12266154,1
12266511,1
12266688,2
12268122,1
12269114,3
12271801,1
12271965,1
12272205,1
12272432,1
12272802,1
12273881,1
12275130,2
12275644,1
12275724,1
12276600,1
12277989,1
12280781,1
12281549,1
12281947,1
12282732,1
12285339,1
12285398,2
12288504,1
12289921,2
12294557,1
12296044,1
12298298,1
12299059,2
12300222,1
12301743,1
12309340,2
12309772,1
12312543,1
12316445,1
12319522,1
12320567,1
12321116,1
12327674,1
12329006,1
12329297,2
12330768,1
12349830,1
12360844,1
12363779,1
12364409,1
12370365,1
12371247,1
12372934,1
12376036,1
12383935,1
12387039,2
12387076,1
12390951,1
12394932,1
12399329,2
12399750,1
12400568,1
12402071,1
12402421,1
12402997,1
12408470,1
12408909,1
12412432,1
12419339,1
12425680,1
12430470,1
12434261,1
12436955,1
12437454,1
12438594,2
12442344,1
12442740,2
12448212,1
12449259,1
12451061,1
12451537,1
12452818,1
12453731,1
12454651,1
12455410,3
12456862,1
12457115,1
12457543,1
12461158,1
12462015,1
12463482,1
12463638,1
12464864,1
12465346,1
12466124,1
12467910,3
12471239,1
12472349,1
12474229,1
12474661,1
12474754,1
12478561,1
12480610,1
12481340,1
12490147,1
12490916,1
12494242,1
12495405,1
12496771,1
12496792,1
12498743,1
12498845,2
12501339,1
12501759,1
12502512,1
12506825,1
12509088,1
12511185,1
12511598,1
12512617,1
12513066,1
12513154,1
12517875,1
12518209,1
12518913,1
12519907,1
12520551,1
12521505,4
12521743,1
12522145,1
12522236,1
12525176,1
12525810,1
12531634,2
12533803,1
12535055,1
12536057,1
12536724,1
12537872,3
12538366,1
12540013,1
12540211,1
12540340,1
12540586,1
12540831,2
12540996,1
12542386,1
12542997,1
12543901,1
12549289,1
12549632,1
12551066,1
12552722,1
12552939,1
12555840,1
12556475,2
12557120,1
12557307,1
12564936,1
12565577,1
12570220,1
12574394,3
12580456,1
12580486,2
12580491,1
12580519,1
12587125,1
12589084,1
12589198,1
12590639,1
12590921,1
12591851,1
12597454,1
12598887,1
12601545,1
12602267,1
12602328,1
12603110,1
12604240,1
12606990,1
12607619,1
12610105,1
12610988,1
12613152,1
